"Name","State","Created","feature_used","acc","loss","val_acc","val_loss","architecture","batch_size","dataset","epochs","learning_rate","log_step","val_log_step"
"wandering-morning-185","finished","2024-10-26T14:30:13.000Z","Urine output","0.6639447212219238","0.6488347578048707","0.6482412219047546","0.6422633613858905","","32","","20","","200","50"
"lunar-monkey-196","finished","2024-10-26T14:33:21.000Z","Lymphocyte","0.6417597532272339","0.640640069609103","0.6545960903167725","0.620253731807073","","32","","20","","200","50"
"worldly-plasma-211","finished","2024-10-26T14:37:49.000Z","Bicarbonate","0.6392132639884949","0.6401510582520411","0.6535626649856567","0.6492446916443961","","32","","20","","200","50"
"stellar-cloud-192","finished","2024-10-26T14:32:12.000Z","Leucocyte","0.6318377256393433","0.6593250242563394","0.6412776708602905","0.639344334602356","","32","","20","","200","50"
"robust-totem-202","finished","2024-10-26T14:35:04.000Z","Urea nitrogen","0.6299938559532166","0.6586019419706785","0.6339066624641418","0.6526624645505633","","32","","20","","200","50"
"young-wildflower-208","finished","2024-10-26T14:36:56.000Z","Anion gap","0.6226183176040649","0.6467434053237622","0.6044226288795471","0.6517613530158997","","32","","20","","200","50"
"snowy-grass-194","finished","2024-10-26T14:32:50.000Z","Neutrophils","0.614794135093689","0.6622488369112429","0.6016713380813599","0.6478321154912313","","32","","20","","200","50"
"fallen-firebrand-206","finished","2024-10-26T14:36:18.000Z","Blood calcium","0.6033210158348083","0.6656407759739802","0.6093366146087646","0.6532959938049316","","32","","20","","200","50"
"logical-glitter-212","finished","2024-10-26T14:38:08.000Z","Lactic acid","0.6004335284233093","0.6584153554656289","0.5821325778961182","0.6645527084668478","","32","","20","","200","50"
"eager-cherry-210","finished","2024-10-26T14:37:33.000Z","PH","0.5964125394821167","0.6725475050154186","0.5373134613037109","0.7010771234830221","","32","","20","","200","50"
"deft-spaceship-195","finished","2024-10-26T14:33:07.000Z","Basophils","0.5926222801208496","0.6818824052810669","0.5929487347602844","0.6689657688140869","","32","","20","","200","50"
"wobbly-cosmos-182","finished","2024-10-26T14:29:21.000Z","Respiratory rate","0.5829207897186279","0.681520565198018","0.5767326951026917","0.6825831873076302","","32","","20","","200","50"
"iconic-snow-205","finished","2024-10-26T14:36:00.000Z","Blood sodium","0.580208957195282","0.685267638701659","0.6068795919418335","0.6645066482680184","","32","","20","","200","50"
"daily-bush-191","finished","2024-10-26T14:31:54.000Z","RDW","0.580208957195282","0.6822568659599011","0.5921375751495361","0.6733749168259757","","32","","20","","200","50"
"apricot-forest-204","finished","2024-10-26T14:35:41.000Z","Blood potassium","0.5752919316291809","0.6729259788990021","0.5552825331687927","0.6835825443267822","","32","","20","","200","50"
"stellar-yogurt-199","finished","2024-10-26T14:34:12.000Z","NT-proBNP","0.5728334188461304","0.6784753088767712","0.560196578502655","0.6812509724072048","","32","","20","","200","50"
"crisp-frog-197","finished","2024-10-26T14:33:37.000Z","PT","0.56965172290802","0.683052828678718","0.56965172290802","0.6793042932237897","","32","","20","","200","50"
"effortless-dragon-180","finished","2024-10-26T14:28:44.000Z","Systolic blood pressure","0.5685058832168579","0.6858882560179784","0.5915841460227966","0.682143143245152","","32","","20","","200","50"
"happy-shadow-179","finished","2024-10-26T14:28:23.000Z","heart rate","0.5662128925323486","0.6856659054756165","0.6163366436958313","0.6674747467041016","","32","","20","","200","50"
"resilient-firefly-177","finished","2024-10-26T14:27:39.000Z","Renal failure","0.563614010810852","0.6865971799080188","0.547911524772644","0.6970150641032627","","32","","20","","200","50"
"firm-star-207","finished","2024-10-26T14:36:38.000Z","Chloride","0.5617701411247253","0.689209928879371","0.5184274911880493","0.6948178665978568","","32","","20","","200","50"
"legendary-snowflake-193","finished","2024-10-26T14:32:31.000Z","Platelets","0.558696985244751","0.6854597490567428","0.5798525810241699","0.674890765122005","","32","","20","","200","50"
"sleek-capybara-198","finished","2024-10-26T14:33:55.000Z","INR","0.5541045069694519","0.6833273447476901","0.5572139024734497","0.6788019793374198","","32","","20","","200","50"
"bright-pine-171","finished","2024-10-26T14:25:50.000Z","atrialfibrillation","0.5519360899925232","0.6935624617796677","0.5429975390434265","0.6949021390506199","","32","","20","","200","50"
"dazzling-snowflake-174","finished","2024-10-26T14:26:41.000Z","deficiencyanemias","0.5433312654495239","0.6939026369498327","0.560196578502655","0.6897691914013454","","32","","20","","200","50"
"lilac-river-181","finished","2024-10-26T14:29:04.000Z","Diastolic blood pressure","0.5430874228477478","0.6961906391840714","0.5767326951026917","0.6750550014632088","","32","","20","","200","50"
"jumping-fog-170","finished","2024-10-26T14:25:32.000Z","hypertensive","0.5427166819572449","0.6979149259053744","0.5184274911880493","0.6908546175275531","","32","","20","","200","50"
"playful-wave-214","finished","2024-10-26T14:38:40.000Z","EF","0.542102038860321","0.6935154956120712","0.5282555222511292","0.6898944122450692","","32","","20","","200","50"
"stoic-water-169","finished","2024-10-26T14:25:16.000Z","BMI","0.5338645577430725","0.6997408241033554","0.5445860028266907","0.6784097909927368","","32","","20","","200","50"
"devoted-armadillo-209","finished","2024-10-26T14:37:16.000Z","Magnesium ion","0.5316533446311951","0.6941054211213038","0.5282555222511292","0.691318690776825","","32","","20","","200","50"
"eager-bird-183","finished","2024-10-26T14:29:38.000Z","temperature","0.5313469767570496","0.6944484068797185","0.5707195997238159","0.6703140820775714","","32","","20","","200","50"
"jolly-glitter-201","finished","2024-10-26T14:34:47.000Z","Creatinine","0.5310387015342712","0.6938613194685715","0.5995085835456848","0.6744150604520526","","32","","20","","200","50"
"stellar-capybara-188","finished","2024-10-26T14:31:04.000Z","MCH","0.5279656052589417","0.6941969257134658","0.5085995197296143","0.6923709682055882","","32","","20","","200","50"
"warm-paper-213","finished","2024-10-26T14:38:24.000Z","PCO2","0.5268656611442566","0.700441178821382","0.5373134613037109","0.6915656129519144","","32","","20","","200","50"
"graceful-voice-184","finished","2024-10-26T14:29:55.000Z","SP O2","0.5241336822509766","0.6978397919581487","0.5272276997566223","0.6904071228844779","","32","","20","","200","50"
"kind-firefly-186","finished","2024-10-26T14:30:29.000Z","hematocrit","0.5224339365959167","0.7011445485628568","0.5282555222511292","0.6914378234318325","","32","","20","","200","50"
"vital-sunset-190","finished","2024-10-26T14:31:38.000Z","MCV","0.52059006690979","0.6985318110539362","0.5331695079803467","0.6957783443587167","","32","","20","","200","50"
"worthy-brook-173","finished","2024-10-26T14:26:24.000Z","diabetes","0.5175169110298157","0.7014170082715842","0.4717444777488709","0.6939768450600761","","32","","20","","200","50"
"usual-pyramid-176","finished","2024-10-26T14:27:19.000Z","Hyperlipemia","0.515673041343689","0.6995598467496725","0.5012285113334656","0.6990922263690403","","32","","20","","200","50"
"effortless-water-167","finished","2024-10-26T14:24:40.000Z","age","0.515673041343689","0.6977271093772008","0.5552825331687927","0.6900837506566729","","32","","20","","200","50"
"expert-darkness-166","finished","2024-10-26T14:24:19.000Z","ID","0.5150583982467651","0.7027743321198684","0.4717444777488709","0.6985009142330715","","32","","20","","200","50"
"zesty-mountain-178","finished","2024-10-26T14:27:59.000Z","COPD","0.5125998854637146","0.7041406035423279","0.5454545617103577","0.6934370824268886","","32","","20","","200","50"
"deep-dream-172","finished","2024-10-26T14:26:07.000Z","CHD with no MI","0.5119852423667908","0.6985292090819433","0.4496314525604248","0.6949640938213894","","32","","20","","200","50"
"genial-sea-200","finished","2024-10-26T14:34:30.000Z","Creatine kinase","0.5107142925262451","0.707555128769441","0.4942857027053833","0.6902977327505747","","32","","20","","200","50"
"soft-bird-203","finished","2024-10-26T14:35:22.000Z","glucose","0.5102548003196716","0.6977354654899011","0.5384615659713745","0.694977309022631","","32","","20","","200","50"
"toasty-microwave-168","finished","2024-10-26T14:24:59.000Z","gendera","0.5076828598976135","0.6978064844241509","0.4717444777488709","0.6956424457686288","","32","","20","","200","50"
"deft-feather-175","finished","2024-10-26T14:27:00.000Z","depression","0.5039950609207153","0.6999056591437414","0.4717444777488709","0.695605184350695","","32","","20","","200","50"
"fresh-water-189","finished","2024-10-26T14:31:21.000Z","MCHC","0.4953902959823608","0.7028713157543769","0.48402947187423706","0.6946192724364144","","32","","20","","200","50"
"azure-snow-187","finished","2024-10-26T14:30:46.000Z","RBC","0.4953902959823608","0.7091467472223135","0.525798499584198","0.6937926581927708","","32","","20","","200","50"
"glamorous-dust-165","finished","2024-10-26T14:23:56.000Z","group","0.4769514501094818","0.7049702360079839","0.4717444777488709","0.6980052420071193","","32","","20","","200","50"